category,cute,big,prob
elephant,0,0,0.000011610630065863258
elephant,0,1,0.00004637655077444247
elephant,0,2,0.00016339808330934847
elephant,1,0,0.000026960630667143288
elephant,1,1,0.00005738081128715009
elephant,1,2,0.000344589275209835
elephant,2,0,0.000019166208063269026
elephant,2,1,0.00004089490850613105
elephant,2,2,0.0002450385733335966
dog,0,0,0.000023221260131726537
dog,0,1,0.00005797068846805305
dog,0,2,0.0000034041267356114255
dog,1,0,0.0001232485973355122
dog,1,1,0.0001639451751061433
dog,1,2,0.000016409013105230244
dog,2,0,0.00042932306061722593
dog,2,1,0.0005725287190858332
dog,2,2,0.000057175667111172504
cat,0,0,0.000014513287582329095
cat,0,1,0.000017391206540415914
cat,0,2,0.0000017020633678057132
cat,1,0,0.00023109112000408542
cat,1,1,0.00014755065759552866
cat,1,2,0.00002461351965784539
cat,2,0,0.0004983214096449944
cat,2,1,0.00031898028634782155
cat,2,2,0.00005309169088894595
kitten,0,0,0.00001596461634056198
kitten,0,1,0.000011594137693610616
kitten,0,2,0.0000017020633678057132
kitten,1,0,0.00016946682133632925
kitten,1,1,0.00006557807004245727
kitten,1,2,0.000016409013105230244
kitten,2,0,0.0006324848660878775
kitten,2,1,0.00024536945103678615
kitten,2,2,0.00006125964333339912
whale,0,0,0.000017415945098794877
whale,0,1,0.00013912965232332756
whale,0,2,0.0002246723645503541
whale,1,0,0.00001540607466693902
whale,1,1,0.00006557807004245727
whale,1,2,0.00018049914415753268
whale,2,0,0.000015332966450615206
whale,2,1,0.00006543185360980963
whale,2,2,0.00017969495377797074
panda,0,0,0.00003653243702541829
panda,0,1,0.00022611958601281498
panda,0,2,0.0000370339062445639
panda,1,0,0.00028932971789695397
panda,1,1,0.0017508503956848334
panda,1,2,0.0002928400024309733
panda,2,0,0.0004955551528111208
panda,2,1,0.002999264574684291
panda,2,2,0.0005015727834408682
man,0,0,0.02069014277732696
man,0,1,0.18594678032975498
man,0,2,0.006066153842847428
man,1,0,0.07320966681714779
man,1,1,0.350580362446275
man,1,2,0.01949390756897451
man,2,0,0.05464669242988333
man,2,1,0.2623490170480068
man,2,2,0.014555291255986508
