category,slow,strong,prob
man,0,0,0.04183143166848612
man,0,1,0.03768235999831797
man,0,2,0.006853953519832724
man,0,3,0.006630801544768398
man,0,4,0.01549312284018001
man,0,5,0.007293881699245242
man,1,0,0.056469266852514376
man,1,1,0.052676253020439816
man,1,2,0.015534070677968909
man,1,3,0.013861804953502884
man,1,4,0.02354638081713179
man,1,5,0.011904003635327745
man,2,0,0.05121337827726174
man,2,1,0.04566840158676965
man,2,2,0.006774256385881186
man,2,3,0.006853953519832724
man,2,4,0.018290492241879154
man,2,5,0.008400077918492656
man,3,0,0.032679012805490786
man,3,1,0.030002355404240125
man,3,2,0.00731619689675168
man,3,3,0.006713686564078006
man,3,4,0.012925281184261268
man,3,5,0.006340703977184771
man,4,0,0.034304834338102275
man,4,1,0.03669333800430461
man,4,2,0.02574217426634843
man,4,3,0.021167558777529825
man,4,4,0.021135679923949248
man,4,5,0.012573019852195444
man,5,0,0.05982031885417195
man,5,1,0.06619076346914822
man,5,2,0.05255170697788687
man,5,3,0.0429020946289861
man,5,4,0.04006658723294244
man,5,5,0.024434908009638847
turtle,0,0,0.000778729551077636
turtle,0,1,0.000296856607098641
turtle,0,2,0.000039043545420705594
turtle,0,3,0.000039768064820265084
turtle,0,4,0.00009724660385198419
turtle,0,5,0.000044791399323877505
turtle,1,0,0.0016193846912946324
turtle,1,1,0.0006218612092606275
turtle,1,2,0.0000837166898540803
turtle,1,3,0.00008516572865319928
turtle,1,4,0.00020575240572930664
turtle,1,5,0.00009521239766042412
turtle,2,0,0.0007707598376824816
turtle,2,1,0.00029323401010084363
turtle,2,2,0.00003831902602114611
turtle,2,3,0.0000390435454207056
turtle,2,4,0.00009579756505286522
turtle,2,5,0.00004406687992431802
turtle,3,0,0.0007948460826100595
turtle,3,1,0.00030418230324974255
turtle,3,2,0.00004050868465092591
turtle,3,3,0.0000412332040504854
turtle,3,4,0.00010017688231242482
turtle,3,5,0.00004625653855409782
turtle,4,0,0.0030800285701139706
turtle,4,1,0.0012286788744236788
turtle,4,2,0.00018475244688766812
turtle,4,3,0.0001869260050863466
turtle,4,4,0.00042698343280705444
turtle,4,5,0.00020199600859718383
turtle,5,0,0.015818935090880778
turtle,5,1,0.006390865852014551
turtle,5,2,0.0009935843064165944
turtle,5,3,0.0010037275780104273
turtle,5,4,0.0022554017949812104
turtle,5,5,0.001074054261061001
